event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message,raw_slug,condition_id,token_id
sol-5min-up-or-down-2026-02-24-17:45,1771973378135,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,1049.95,15.0,ASK,0.87,0.93,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
btc-5min-up-or-down-2026-02-24-17:45,1771973378559,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,404.98,10.0,ASK,0.95,0.96,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973379111,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,1059.95,10.0,ASK,0.87,0.97,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
btc-5min-up-or-down-2026-02-24-17:45,1771973379300,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,464.98,60.0,ASK,0.95,0.96,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973379387,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,3559.95,2500.0,ASK,0.87,0.97,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
btc-5min-up-or-down-2026-02-24-17:45,1771973380487,2026-02-24 22:49:40,2026-02-24 17:49:40,ask,0.99,478.8,73.82,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973382982,2026-02-24 22:49:42,2026-02-24 17:49:42,ask,0.99,488.8,10.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973383353,2026-02-24 22:49:43,2026-02-24 17:49:43,ask,0.99,1079.95,30.0,ASK,0.98,0.99,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
eth-5min-up-or-down-2026-02-24-17:45,1771973384789,2026-02-24 22:49:44,2026-02-24 17:49:44,ask,0.99,1262.78,48.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
btc-5min-up-or-down-2026-02-24-17:45,1771973385043,2026-02-24 22:49:45,2026-02-24 17:49:45,ask,0.99,479.8,44.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
eth-5min-up-or-down-2026-02-24-17:45,1771973385075,2026-02-24 22:49:45,2026-02-24 17:49:45,ask,0.99,1281.78,19.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
sol-5min-up-or-down-2026-02-24-17:45,1771973385159,2026-02-24 22:49:45,2026-02-24 17:49:45,ask,0.99,1012.66,13.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
